date,decision,reason,spx_entry,vix_entry,expiry,dte,short_strike,long_strike,entry_credit,contracts,estimated_margin,exit_time,exit_price,exit_reason,pnl_per_contract,total_pnl,win_loss,runtime_sec
2017-01-26,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-01-27,SKIP,VIX below minimum (10.72 < 12),2295.64,10.72,,,,,,0,,,,,,,,0.66
2017-01-28,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-01-29,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-01-30,SKIP,no credit-qualified spread candidate,2277.51,12.03,,,,,,0,,,,,,,,10.843
2017-01-31,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-02-01,SKIP,VIX below minimum (11.55 < 12),2287.3,11.55,,,,,,0,,,,,,,,0.614
2017-02-02,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-02-03,SKIP,VIX below minimum (11.25 < 12),2288.16,11.25,,,,,,0,,,,,,,,0.609
2017-02-04,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-02-05,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-02-06,SKIP,VIX below minimum (11.54 < 12),2293.4,11.54,,,,,,0,,,,,,,,0.611
2017-02-07,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-02-08,SKIP,VIX below minimum (11.60 < 12),2287.97,11.6,,,,,,0,,,,,,,,0.607
2017-02-09,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-02-10,SKIP,VIX below minimum (10.79 < 12),2313.67,10.79,,,,,,0,,,,,,,,0.609
2017-02-11,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-02-12,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-02-13,SKIP,VIX below minimum (11.17 < 12),2325.1,11.17,,,,,,0,,,,,,,,5.141
2017-02-14,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-02-15,SKIP,VIX below minimum (11.76 < 12),2337.02,11.76,,,,,,0,,,,,,,,11.976
2017-02-16,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-02-17,SKIP,no option definitions for day,2342.1,12.04,,,,,,0,,,,,,,,26.474
2017-02-18,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
